,Titular,URL,Usuari,Entrada,Meneos,Clics,Comentaris,Vots Positius,Vots Anònims,Vots Negatius,Categoria,Karma,Data Submissió
21, Sargadelos no cede a la hora de defender sus diseños ante Dolce & Gabbana ,https://www.lavozdegalicia.es/noticia/sociedad/2021/04/11/sargadelos-cede-hora-defender-disenos-ante-dolce-gabbana/0003_202104G11P30993.htm,oghaio,"La empresa gallega insiste en que los diseños de la firma de moda presentan parecidos evidentes con sus decorados, como el Monférico, comercializado desde 1967.",257,5524,34,113,144,2,actualidad,451,11-04-21 14:08
22," Todo sobre Age of Empires IV, el juego de estrategia más esperado: gameplay, civilizaciones, fecha ",https://www.3djuegos.com/juegos/avances/30277/5623/0/age-of-empires-iv/,Minéame,"Al fin hemos visto en acción Age of Empires IV y ya estamos contando los días que nos quedan para disfrutar del regreso de esta mítica serie de estrategia en tiempo real. Los autores de Company of Heroes nos cuentan todos los detalles de este esperadísimo RTS ambientado en la Edad Media. Gráficos, ejércitos, novedades, lanzamiento y más en esta primera toma de contacto.",251,7736,92,128,123,2,ocio,450,11-04-21 12:11
23, La Justicia saca de las listas del PP a Toni Cantó y Agustín Conde ,https://www.eldiario.es/madrid/justicia-saca-listas-pp-toni-canto-agustin-conde_1_7420168.html,manifa33,El juzgado de lo contencioso administrativo número 5 de Madrid da la razón al PSOE y considera que ambos candidatos no cumplían los requisitos por no estar censados en Madrid antes del 1 de enero.,1093,4125,258,483,610,1,actualidad,1038,11-04-21 15:44
24," Ana Teresa Toro: Puerto Rico, atrapado en el tiempo ",https://elpais.com/eps/2021-04-10/puerto-rico-atrapado-en-el-tiempo.html,ccguy,"Tenía ocho años cuando a San Juan llegaron más de 250 barcos para la conmemoración de la Gran Regata Colón de 1992. Recuerdo recorrer los muelles, escuchar personas hablando distintos idiomas, sentirme tan parte del mundo. En aquellos años en Puerto Rico se soñaba en grande. Un comité preparaba la postulación para los Juegos de 2004. Imaginábamos y diseñábamos futuros; hacíamos esas cosas que hacen los países. En esos mismos años, científicos de todo el mundo querían venir al Observatorio de Arecibo para usar el radiotelescopio (...)",112,2203,32,64,48,1,cultura,411,11-04-21 00:14
25," Baizuo, por qué la corrección política no se ha vuelto popular en China ",https://conoce-china.com/baizuo-correccion-politica-en-china/,me_joneo_pensando_en_ti,,252,2976,182,185,67,53,cultura,391,11-04-21 12:13
26, Video: Sorprendente estos Mosquitos beben sangre hasta Explotar ,https://cerebrodigital.net/video-sorprendente-estos-mosquitos-beben-sangre-hasta-explotar,MDman,,136,5614,66,73,63,1,ciencia,403,11-04-21 00:45
27," Encargo a un detective para sacar de Vox a un dirigente: ""Quiero fotos de él con la puta y la coca"" ",https://www.youtube.com/watch?v=OtNAxwiu9_Q,Protochoc,"A Juan Antonio Morales, candidato de Vox a la Junta de Extremadura en 2019 y uno de los 8 cargos que dimitió en Vox Extremadura a principios de mes, intentaron apartarlo de la política con grabaciones comprometedoras presuntamente en cargadas por su propio partido a un detective privado. La intención era seguirle y, a ser posible, sacarle fotos y grabarle ""con putas y metiéndose coca"" con el objetivo de ""publicarlo, sacarlo en las redes y que se pire de Vox""",500,2319,78,183,317,0,politica,445,11-04-21 11:50
28, Xavi Hernández: la máquina propagandística de Qatar para un Mundial con 6.500 muertos ,https://www.elconfidencial.com/amp/deportes/futbol/mundial/2021-04-11/xavi-hernandez-qatar-mundial-cataluna-presos_3020803/?__twitter_impression=true,Quinqui,El exazulgrana se ha convertido en una de las principales herramientas de relaciones públicas del régimen. Los expertos denuncian las pésimas condiciones de los trabajadores,673,3317,127,246,427,34,actualidad,443,11-04-21 12:22
29, Tras la espectacular águila imperial ibérica: el gran depredador alado ,https://www.elconfidencial.com/amp/medioambiente/naturaleza/2021-04-11/biodiversidad-fauna-iberica-naturaleza-aves-rapaces_3027431/,JORGE75,"El águila imperial ibérica (Aquila adalberti) es una especie endémica de la Península ibérica y cría únicamente en España y Portugal. Su hábitat es el monte y matorral mediterráneo. Las hembras son siempre mayores que los machos y alcanzan una envergadura superior a los dos metros con las alas desplegadas. Tienen el pico muy fuerte, unas garras con uñas afiladas y una vista agudísima que les sirve para localizar a sus presas.",200,5401,22,94,106,3,cultura,433,11-04-21 09:02
30, El último apuñalamiento eleva la tensión en las Tres Mil Viviendas de Sevilla ,https://www.diariodesevilla.es/sevilla/ultimo-apunalamiento-eleva-tension-vecinal-Tres-Mil-Viviendas_0_1563744644.html,ElBuenismoEraLaCensura,"El clan de los Caracoleños recibió dinero del gobierno municipal para que abandonase el asentamiento chabolista de Los Bermejales, en Sevilla, que fue desmantelado. Este clan se instaló en las Tres Mil Viviendas comprando ilegalmente viviendas allí. Los vecinos se manifestaron en contra de que los Caracoleños se instalasen allí. Desde que llegaron al barrio, los Caracoleños han cometido robos, asesinatos, linchamientos, amenazas a vecinos, abusos sexuales, okupaciones...",400,3979,270,169,231,7,actualidad,434,11-04-21 10:44
