,Titular,URL,Usuari,Entrada,Meneos,Clics,Comentaris,Vots Positius,Vots Anònims,Vots Negatius,Categoria,Karma,Data Submissió
91," ""Ya no doy más"": mujer chilena se suicidó tras denunciar violencia y amenazas de su expareja ",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2021/04/09/ya-no-doy-mas-mujer-de-37-anos-se-suicido-tras-denunciar-violencia-y-amenazas-de-su-expareja.shtml,Ratoncolorao,"“Me acaba de tirar el pelo, me acaba de pegar”, con esas palabras Francisca describió y denunció a su pareja en 2019, sin embargo esta causa fue archivada. Epilepsia, y estrés fueron algunos de los síntomas que presentó Moll ante el constante nerviosismo por las amenazas hacia su familia que la dejaron en el hospital en al menos en 4 oportunidades.",357,1236,59,148,209,10,actualidad,376,09-04-21 21:29
92, Recopilación de bulos de la extrema derecha española de marzo de 2021 ,https://aldescubierto.org/2021/04/09/recopilacion-de-bulos-de-la-extrema-derecha-espanola-de-marzo-de-2021/,kain_666,"Como quedó reflejado en un informe publicado por la Unión Europea, Vox es una de las organizaciones más beneficiadas por los bulos y los usa como estrategia comunicativa, siguiendo la línea de la alt-right estadounidense. Después de la recopilación realizada del mes de febrero de 2021, a continuación se muestran los principales bulos que se han movido por parte del entorno de la derecha y la ultraderecha mediática del mes de marzo de 2021.",321,4022,73,267,54,65,actualidad,420,09-04-21 19:34
93," José Ribera. Sádico, mafioso y putero ",https://historia-arte.com/articulos/jose-ribera,Mysanthropus,"Hay almas que lo feo adoran sin secreto. Y tú estás entre tales, el de ásperos pinceles, Ribera, a quien [Nápoles] llamó el Españoleto (…) Hay quien busca lo bello; más tú lo extravagante ya el mártir, ya el verdugo, gitanos, plebe ociosa con úlceras podridas en trapo repugnante (…) ¡Con qué furia, no exenta de fiebre voluptuosa, al mártir despellejas, con práctica de drama, haciendo que veamos la dermis sanguinosa.",110,2452,16,53,57,3,cultura,434,09-04-21 22:00
94, La treta de Toni Cantó para ser candidato del PP: renovó su DNI con dirección de Madrid unos días antes de registrar... ,https://www.eldiario.es/madrid/toni-canto-exalcalde-toledo-cambiaron-direccion-dni-dias-registro-listas_1_7392533.html,anasmoon,,658,1830,88,266,392,17,actualidad,467,09-04-21 22:37
95, Irlanda del Norte: a qué se debe el estallido de violencia que revive fantasmas del pasado ,https://www.bbc.com/mundo/noticias-internacional-56685116,ángel.,Irlanda del Norte vive estos días una de las peores olas de violencia en la región en años. Más de 50 agentes de policía han resultado heridos y al menos 10 personas han sido detenidas por las protestas de los últimos diez días en varias ciudades y pueblos norirlandeses.,220,3751,19,106,114,0,actualidad,433,09-04-21 20:47
96," La vida y filosofía de Javier Krahe, a ritmo de anécdotas ",https://www.rtve.es/noticias/20210409/javier-krahe-biografia/2085129.shtml,painful,,230,2634,26,118,112,1,cultura,427,09-04-21 18:31
97, Por qué no hay que marcar las casillas de la iglesia católica ni la de fines sociales en el IRPF ,https://youtu.be/7Bpwf1dbYRE,javierchiclana,En este vídeo explicamos la posición de Europa Laica con respecto a las casillas de la iglesia católica y fines sociales en el impuesto sobre la renta de las personas físicas en España. Duración: 1m 41sg,580,4670,80,254,326,12,politica,412,09-04-21 21:24
98, Los trabajadores de Amazon votaron y rechazaron tener un sindicato en la empresa ,https://www.infobae.com/america/eeuu/2021/04/09/los-trabajadores-de-amazon-votaron-y-rechazaron-tener-un-sindicato-en-la-empresa/,nereira,"Los empleados de Amazon le dijeron “no” a los intentos gremiales de ingresar a la compañía que creó en los últimos años 1.200.000 puestos de trabajo. Los trabajadores rechazaron la idea de contar con un gremio dentro de la empresa, de acuerdo a los datos que arrojaron las históricas elecciones que se llevaron adelante en Alabama, donde quienes forman parte de esa firma debían decidir si querían ser miembros del Sindicato de minoristas, mayoristas y grandes almacenes.",378,1456,199,182,196,2,actualidad,404,09-04-21 18:38
99," Justifica el crimen de su pareja: ""Te amo tanto que antes de perdonarte te mato"" ",https://www.lainformacion.com/arte-cultura-y-espectaculos/asi-justifica-crimen-pareja-carta-te-amo-tanto-antes-perdonarte-te-mato/2834809/,cestdufoot,Fiscalía pedirá 30 años de prisión para el acusado de matar a su mujer tras someterla a un clima de terror el pasado 5 de julio de 2018 en su casa de Madrid.,244,1913,136,136,108,4,actualidad,340,09-04-21 13:59
100, El dopaje mecánico de Lance Armstrong y el motor en su bicicleta ,https://www.iberobike.com/el-dopaje-mecanico-de-lace-armstrong-el-motor-en-su-bicicleta/,filosofo,Los motores eléctricos pueden ser ocultados en muchas partes de la bicicleta. Las sospechas de que Lance Armstrong pudo haber utilizado alguno salen a la luz. Los datos generados por el físico de Lance Armstrong eran «imposibles». Lance Armstrong mantuvo 7.4 vatios/kg por pierna durante 9 minutos y 33 segundos.,358,15063,153,148,210,39,ocio,420,09-04-21 17:33
101,"  La televisión gallega arrincona en directo a una joven de 20 años para que se reúna con su expareja, de la que se separ ",https://www.eldiario.es/galicia/politica/video-television-publica-gallega-arrincona-directo-joven-20-anos-reuna-expareja-separo-conducta-controladora_1_7393272.html?fbclid=IwAR3jXfAbv2BsTrDOqF8GQDlz3QhlgKM7lyhfF6UzTFL2HteIWPKkdLZSmC0,Maddoctor,"El programa Land Rober pretendía que una joven del público aceptase las disculpas de su exnovio por haber sido celoso. Ella contó que él le vigilaba el móvil, la apartó de sus amistades y le hizo perder un trabajo.",648,7439,162,235,413,47,actualidad,604,09-04-21 18:41
102," EMA inicia revisión vacuna de Johnson and Johnson, Janssen, tras tromboembolias ",http://www.ansalatina.com/americalatina/noticia/sociedad/2021/04/09/ema-inicia-revision-janssen-tras-tromboembolias_47a970f9-658a-4134-b371-131f43d9b24c.html,Blat,,265,1686,108,121,144,0,vacúname,372,09-04-21 14:48
103, Transforman por primera vez astrocitos en neuronas para reparar circuitos visuales ,https://www.agenciasinc.es/Noticias/Transforman-por-primera-vez-astrocitos-en-neuronas-para-reparar-circuitos-visuales,eldarel,"Un gen maestro, denominado Neurogenina2, es capaz de reprogramar los astrocitos y convertirlos en neuronas. El descubrimiento abre la puerta a recuperar los circuitos sensoriales de la vista o el oído en etapas tempranas de la vida.",292,660,9,136,156,0,ciencia,407,08-04-21 22:09
104, Varapalo a Hacienda y la Abogacía del Estado: la Audiencia Provincial vuelve a absolver a Xabi Alonso de delito fiscal ,https://www.elmundo.es/deportes/futbol/2021/04/09/60700af821efa0417c8b45f9.html?cid=BESOCYEM01,dirok,"La Audiencia Provincial de Madrid ha vuelto a dar un varapalo a la Agencia Tributaria y la Abogacía del Estado. Según una sentencia de este mismo jueves, a la que ha tenido acceso en exclusiva este periódico, Xabi Alonso, su asesor fiscal Ivan Zaldúa y el administrador Ignasi Maestre han vuelto a ser absueltos del delito fiscal por el que llevan acusados más de cinco años.",330,1456,103,141,189,1,actualidad,466,09-04-21 15:59
105, ¿Por qué un policía pega a un periodista? ,https://blogs.publico.es/otrasmiradas/47922/por-que-un-policia-pega-a-periodistas/,radiolasmatas,"¿Qué lleva a un agente antidisturbio a pegar a una persona que está grabando lo que ocurre? Año y medio después un policía ha vuelto a golpearme antes de tirarme al suelo de la Plaza Roja de Vallecas, donde Santiago Abascal había provocado las primeras cargas policiales en el histórico barrio obrero de la capital. Lo hizo mientras intentaba identificarme como periodista, algo que él mismo me había requerido. Las cámaras que filmaron la escena lograron que ese agente terminara cogiéndome del brazo para que me levantara. Él intentaba salvar la i",665,4349,78,280,385,37,actualidad,425,09-04-21 10:09
106," Cámara antropomórfica que mira, parpadea y te observa [EN] ",https://marcteyssier.com/projects/eyecam/,Regreso,,103,3652,44,71,32,2,tecnología,396,09-04-21 15:00
107," Los linajudos, chantajistas genealógicos del Siglo de Oro ",https://theconversation.com/los-linajudos-chantajistas-genealogicos-del-siglo-de-oro-156466,Ripio,"La sociedad española del Antiguo Régimen se caracterizó por la obsesión nobiliaria y por la limpieza de sangre, dos cualidades que se debían poseer, o al menos aparentar. En la España del Siglo de Oro proliferó una repulsiva serie de personajes que utilizaron en su provecho sus profundos conocimientos genealógicos, usándolos para obtener importantes beneficios económicos. Se trata de los “linajudos”, chantajistas profesionales que se aprovecharon de la desgracia ajena para ganar importantes cantidades de dinero a costa de sus víctimas.",93,1247,17,50,43,0,cultura,399,09-04-21 07:19
108," Israel no paga, Pfizer suspende vacunas y medios. Jerusalem Post: bloqueadas 700.000 dosis ",http://www.ansalatina.com/americalatina/noticia/mundo/2021/04/05/israel-non-paga-pfizer-suspende-vacunas-medios_d05fb92f-3b08-4257-abda-06642d7a6a73.html,Stajanov,"El laboratorio Pfizer suspendió la entrega de 700.000 dosis de la vacuna anti Covid a Israel, que debía realizarse esta noche, acusando al gobierno israelí de no haber pagado 2,5 millones de dosis ya proporcionadas, escribió el Jerusalem Post. Dirigentes de Pfizer citados por el diario dijeron temer que el gobierno de transición no efectúe los debidos pagos, y agregaron que la compañía no tiene intención de dejar que se aprovechen de ella. Las mismas fuentes agregaron no comprender cómo todo esto puede ocurrir en un país organizado.",469,2079,151,202,267,3,actualidad,408,09-04-21 15:30
109," ""Si se aprueba sería histórico"": 5 claves para entender qué es un impuesto mínimo global a las multinacionales ",https://www.bbc.com/mundo/noticias-56678736,TresPiesAlGato,,597,3369,105,242,355,1,actualidad,433,09-04-21 08:44
110," Agresión homófoba en Sol: un hombre intenta ahogar a otro ""por maricón"" ",https://www.20minutos.es/noticia/4649503/0/agresion-homofoba-en-sol-un-hombre-intenta-ahogar-a-otro-por-maricon/,Islu,"Agentes de la Policía Municipal de Madrid han detenido este jueves a un hombre en la Puerta del Sol por agredir a un joven, al que agarró por el cuello e intentó ahogar por el hecho de ser homosexual, según ha informado Telemadrid.",499,1893,146,220,279,14,actualidad,399,09-04-21 11:57
111, Reparar dispositivos Apple es difícil porque Apple los diseña así a posta ,https://hardwaresfera.com/noticias/otros/reparar-dispositivos-apple-disena-a-posta/,Regord,Francia ha introducido una calificación de la facilidad de reparar dispositivos y Apple suspende. Han admitido que los diseñan así.,451,2938,156,181,270,11,tecnología,375,09-04-21 11:21
112, Mis curiosidades: 3 mapas antiguos extraños y bellos ,https://auxilili.blogspot.com/2021/04/mapas-antiguos.html,Punisher92,"Mapas antiguos y extraños. ¿No os llama la atención el tema de la cartografía? Hace algunos días, encontré en la red algunos mapas con diseños fascinantes y quise investigar más sobre ellos. ¡Espero que el contenido de este post os parezca tan interesante como a mí! :)",94,2269,5,56,38,1,cultura,372,08-04-21 19:39
113, Multado por saltarse el cierre perimetral cuando iba a comprar comida para su mujer celiaca ,https://www.20minutos.es/noticia/4648533/0/hombre-recibe-multa-601-euros-violar-cierre-perimetral-comprar-comida-sin-gluten-mujer/,Currela,"El hombre viajaba con el justificante médico de su mujer, pero denuncia que los agentes ""se rieron del documento"". El matrimonio vive en Vitigudino, que está a 64 km de Salamanca, el lugar más cercano para comprar alimentos sin gluten. Tras recibir la multa, el agente le envió una patrulla ""para que le siguiera desde donde estaban hasta que saliese de Salamanca, para asegurarse de que no parara a comprar"".",772,3284,262,279,493,8,actualidad,402,09-04-21 12:30
114, Kim Jong-un admite que Corea del Norte atraviesa una crisis similar a la gran hambruna de los 90 ,https://es.ara.cat/internacional/kim-jong-admite-corea-norte-atraviesa-crisis-similar-gran-hambruna-90_1_3941971.html,lainDev,"El líder de Corea del Norte, Kim Jong-un, ha admitido en un discurso público que su país atraviesa una grave crisis y la ha comparado incluso con la gran hambruna que asoló el país en los años 90, que dejó entre 600.000 y 3 millones de muertos, según el recuento.  A pesar de que la versión oficial es todavía que el covid-19 no ha afectado a Corea del Norte, está claro que la pandemia y las medidas de restricción que sí ha impuesto el régimen están complicando la ya vulnerable situación económica del país.",324,1590,176,138,186,16,actualidad,420,09-04-21 12:17
115," Muere el príncipe Felipe, marido de la reina Isabel II ",https://mundo.sputniknews.com/20210409/muere-el-principe-felipe-marido-de-la-reina-isabel-ii-1108998007.html,A_D,"El duque de Edimburgo, Felipe, falleció a los 99 años después de haber sido internado en el hospital Rey Eduardo VII en Londres. Felipe se había estado sintiendo mal los últimos días y el 17 de febrero ingresó al hospital por sus propios medios. El duque de Edimburgo nació en 1921 en la isla griega de Corfú en la familia del príncipe Andrés de Grecia y Dinamarca y de la princesa Alicia de Battenberg.",395,2410,181,230,165,10,actualidad,821,09-04-21 13:09
116," Draghi tilda de ""dictador"" a Erdogan y lamenta la ""humillación"" a Von der Leyen ",https://www.huffingtonpost.es/entry/draghi-tilda-de-dictador-a-erdogan-y-lamenta-la-humillacion-a-von-der-leyen_es_606fd027c5b6a74b3bd89321,Yorga77,"Continúa la polémica. El primer ministro italiano, Mario Draghi, ha lamentado este jueves “la humillación” sufrida por la presidenta de la Comisión Europea, Ursula von der Leyen, por parte del mandatario turco, Recep Tayyip Erdogan. Y ha ido más allá. Draghi ha asegurado que es necesario cooperar con “dictadores” como él.",537,2748,50,199,338,0,politica,473,09-04-21 09:32
117, Las operadoras acuerdan con La Coalición un nuevo sistema de bloqueo de páginas web piratas ,https://bandaancha.eu/articulos/operadoras-acuerdan-coalicion-bloquear-9878,Left_Side,La Coalición de Creadores e Industrias de Contenidos ha conseguido sentar a las principales operadoras de internet para firmar un protocolo que les obligará a seguir un listado semanal de sitios web a los que será imposible acceder desde las redes de nuestro país.,331,2491,245,165,166,0,actualidad,448,09-04-21 09:56
118, Pablo Iglesias confirma que no se presentará a la reelección como secretario general de Unidas Podemos ,https://www.20minutos.es/noticia/4649588/0/pablo-iglesias-confirma-que-no-se-presentara-a-la-reeleccion-como-secretario-general-de-unidas-podemos/,libtalker,"El actual secretario general de Unidas Podemos, Pablo Iglesias, ha confirmado que no se presentará a la reelección de ese cargo al frente del partido en el próximo congreso. ""No debería presentarme, ya lo he hecho cuatro veces"". El también candidato a las elecciones autonómicas en Madrid ha señalado que de momento continuará al frente de la formación, y que después dará paso a nuevos liderazgos.",757,1459,583,389,368,5,actualidad,413,09-04-21 10:16
119, Mutaciones en el PP ,https://www.diariodesevilla.es/miki-duarte/Juanma-Moreno-PP-estado-de-alarma_0_1563145799.html,Uvieu1926,Viñeta de humor de Miki& Duarte en el Diario de Sevilla sobre Juanma Moreno y el Estado de Alarma,314,6589,24,136,178,7,ocio,381,09-04-21 10:13
120, Suspenden de empleo y sueldo durante un año y siete meses al policía local que se negaba a usar mascarilla ,https://cadenaser.com/emisora/2021/04/08/radio_alicante/1617903866_352226.html,coldchiliandhotchilly,"El propio agente es el que ha hecho pública la sanción en sus redes sociales y asegura que las órdenes de sus superiores eran ilegales por lo que se le suspende ""por no ser un cobarde"" y anteponer su salud",492,1986,114,215,277,1,actualidad,368,08-04-21 22:39
121, Cruelty Free International destapa imágenes de extrema crueldad animal en el laboratorio Vivotecnia de Madrid ,https://www.eldiario.es/caballodenietzsche/cruelty-free-international-experimentacion-animal-crueldad-animal-laboratorio-vivotecnia-madrid_132_7389157.html,News333,"Las imágenes muestran actos de crueldad gratuita y deliberada, y procedimientos llevados a cabo con mala praxis, por lo que la empresa, que realiza pruebas de toxicidad, estaría violando de forma sistemática las leyes españolas y europeas de protección de animales para fines científicos.",846,5119,129,305,541,7,actualidad,426,09-04-21 09:26
122, LaLiga no encuentra pruebas contra Juan Cala ,https://www.marca.com/futbol/cadiz/2021/04/08/606f7188ca474133118b4609.html,DRAG0NER0,,227,2553,175,119,108,21,actualidad,383,08-04-21 23:51
123, Pantomima Full - Minimalista ,https://www.youtube.com/watch?v=llOSTT_-NuI,BestiaConFormaHumana,Pantomima Full - Minimalista (Nuevo Vídeo) 09-04-2021 YT vídeo,315,11940,72,181,134,8,ocio,495,09-04-21 09:36
124, Toni Cantó se contradice a si mismo en TVE ,https://twitter.com/lhermoso_/status/1380071216778772480?s=19,Uvieu1926,Entrevista a Toni a Cantó donde le muestran sus críticas al PP y a Casado,600,7420,153,246,354,41,politica,376,08-04-21 17:37
125, El secadero de Teruel que vendió en tres días los 3.000 jamones que tenía en stock por la caída de la hostelería ,https://www.eldiario.es/aragon/economia/empresa-teruel-vende-3-000-jamones-tres-dias-traves-redes-sociales_1_7385362.html,rodda2206,"En apenas unas horas su página web colapsó y que el teléfono registró alrededor de 200 llamadas por minuto. Tenían 3.000 jamones conservados en sal previstos para dar salida entre finales del pasado 2020 y principios de este 2021, y con el vídeo consiguieron venderlos en apenas tres días. De hecho, tramitaron cerca de 4.000 pedidos y se vieron obligados a cerrar la tienda virtual porque no podían hacer frente a tanta demanda.",460,8124,92,205,255,1,actualidad,495,09-04-21 07:41
126, Un concejal del PP imputado por corrupción oculta su identidad para vender ropa con la imagen de Ayuso... ,https://www.eldiario.es/madrid/concejal-pp-acusado-prevaricacion-abre-tienda-camisetas-polos-ayuso_1_7387875.html,candonga1,,557,2638,73,197,360,21,politica,406,09-04-21 05:58
127, Mono jugando a Pong con implante cerebral de Neuralink ,https://www.youtube.com/watch?v=rsCul1sp4hQ&ab_channel=Neuralink,hovercraft85,"Demostración de un interface entre el cerebro de un mono y un juego parecido al mítico Pong mediante un implante que monitoriza la actividad neuronal. Al principio el joystick está activado ""aprendiendo"" cómo es la actividad cerebral al realizar los diferentes movimientos. Luego se desconecta y magia!",287,7026,86,153,134,0,tecnología,445,09-04-21 02:36
128, Mejilloneros de Arousa contratan vigilancia con drones ante el aumento de robos en sus bateas ,https://www.lavozdegalicia.es/noticia/arousa/a-illa-de-arousa/2021/04/08/mejilloneros-arousa-contratan-vigilancia-drones-ante-aumento-robos-bateas/0003_202104G8P32993.htm,pazmegayok,"La semana pasada, varios bateeiros de la ría de Arousa descubrieron, espantados, que su plan de trabajo para los próximos años había sido desbaratado por completo. Al amparo de la noche, alguien se había acercado a las plataformas para llevarse cuerdas, sobre todo aquellas en las que crece la tan escasa cría. «Non son roubos dunha ou dúas cordas. Hai bateas nas que falamos dun cento», explicaba ayer Fernando García, el presidente de la asociación Illa de Arousa. Esa oleada de asaltos fue la gota que colmó el vaso de la paciencia de muchos produ",253,777,38,95,158,0,actualidad,342,08-04-21 23:28
129, EEUU avisa que se verá obligado a intervenir en Taiwán y Filipinas si China no cesa sus hostilidades ,https://www.catalunyapress.es/texto-diario/mostrar/2827306/eeuu-avisa-vera-obligado-intervenir-taiwan-filipinas-china-no-cesa-hostilidades,SrYonkus,"Estados Unidos advirtió a China contra lo que Filipinas y Taiwán ven como movimientos cada vez más agresivos, recordando a Pekín las obligaciones de Washington con sus socios, a medida que las dos potencias rivales intensifican sus actividades navales en el Mar de China Meridional.",291,1547,182,129,162,0,actualidad,335,08-04-21 16:37
130, Sanidad aprueba elevar la edad para vacunar con AstraZeneca hasta los 69 años ,https://www.eldiario.es/sociedad/sanidad-aprueba-administrar-astrazeneca-poblacion-general-66-69-anos_1_7390076.html,KarMalone,,194,550,89,103,91,1,actualidad,323,08-04-21 19:27
131, Cómo tiene que aumentar el ritmo de vacunación para alcanzar el 70% de vacunados en agosto ,https://www.xataka.com/medicina-y-salud/objetivos-gobierno-frente-a-realidad-como-tiene-que-aumentar-ritmo-vacunacion-para-alcanzar-70-vacunados-agosto,Bauman83,"Una vez más, parece que la clave de bóveda de la campaña de vacunación está en que no haya imprevistos con las vacunas. Algo que, como hemos visto en las últimas semanas con la vacuna de AstraZeneca, no puede descartarse en ningún momento. Sin embargo, a partir de hoy la situación cambia: vamos a poder monitorizar en tiempo real la campaña de vacunación y vamos a poder saber si cumplimos o no cumplimos los objetivos que nos pondrán en el camino de alcanzar la verdadera ""nueva normalidad"".",143,3580,42,61,82,3,vacúname,354,08-04-21 07:36
132, El oído absoluto de los animales ,https://culturacientifica.com/2021/04/08/el-oido-absoluto-de-los-animales/,painful,"Fue una de las cosas que descubrí durante el confinamiento. En el árbol que crece frente a mi casa habita un pajarillo que ensaya su repertorio de canciones casi siempre cuando empieza a ponerse el sol. Si desconozco su especie es porque entre mis vicios no se encuentra la ornitología. Y tampoco sé si el silencio del pasado marzo le ayudó a él a alzar la voz, o a mí, a escucharlo por primera vez.",329,3713,39,176,153,0,ciencia,363,08-04-21 22:48
133, Medusas con plástico en su interior evidencian el impacto de la contaminación en los océanos ,https://www.ulpgc.es/noticia/medusas-plastico-su-interior-evidencian-impacto-contaminacion-oceanos,Meneador_Compulsivo,El Grupo de investigación en Ecofisiología de los Organismos Marinos del Instituto Universitario ECOAQUA de la ULPGC acaba de publicar un artículo en revista científica Marine Pollution Bulletin sobre la ingestión de microplásticos en medusas de la especie Pelagia noctiluca. El artículo viene ilustrado con una impactante foto en la que claramente puede verse una Pelagia noctiluca con un fragmento de plástico azul en su interior. La imagen constituye un hito ya que por primera vez se documenta la ingestión de plástico de las medusas de este tipo,295,2223,7,105,190,0,cultura,409,08-04-21 22:00
134, Ocultos de culto para tu Super Nintendo ,https://milkbaronline.org/ocultos-de-culto-para-tu-super-nintendo,PauvreGaspard,"En esta pequeña lista os traemos una buena ristra de bombas videojueguiles para el Cerebro de la Bestia, nuestra amada Super Nintendo. No es un ranking al uso y ni siquiera son unos completos desconocidos para el jugador medio (o veterano que al caso es lo mismo), aunque sí tienen en común quedarse fuera por milímetros de aparecer en el podio y listas oficiales de los mejores juegos del sistema.",102,4006,51,58,44,11,tecnología,402,08-04-21 18:52
135," Ex jugador de la NFL Phillip Adams, mata a cinco personas en un tiroteo y después se suicida ",https://www.milenio.com/deportes/americano/phillip-adams-nfl-mata-personas-suicida-eu,FisionBoy,"El que fuera jugador de los Patriots y los Raiders habría matado a cinco personas, entre ellas dos menores de edad. El doctor Robert Lesslie, de 70 años, y su esposa, Barbara Lesslie, de 69, fueron declarados muertos en el lugar junto con sus nietos Adah Lesslie, de 9, y Noah Lesslie, de 5, dijo la oficina del forense del condado de York.",258,3161,70,130,128,1,actualidad,378,08-04-21 21:26
136, Ojalá se revisase la homeopatía como la vacuna de Astrazeneca ,https://www.redaccionmedica.com/virico/noticias/ojala-se-revisase-homeopatia-mitad-vacuna-covid-astrazeneca-2450,Dadrio,Profesionales sanitarios han aprovechado la ola mediática generada por la vacuna Covid-19 de Astrazeneca -cuya inyección ha sido paralizada en menores de 60 años mientras se investiga la relación de esta con los episodios de trombos- para comparar las insistentes revisiones del fármaco con la falta de las mismas ante esta pseudociencia.,682,1210,109,294,388,7,actualidad,374,08-04-21 22:56
137,Descubre los últimos modelos 3D del virus SARS-CoV-2 con resolución atómica,https://www.meneame.net/story/descubre-ultimos-modelos-3d-virus-sars-cov-2-resolucion-atomica,Ergo," Los modelos de estos vídeos representan la comprensión actual que tenemos de la composición molecular del SARS-CoV-2 más detallada y científicamente precisa hasta la fecha, incluida la última teoría sobre cómo se organiza la información genética dentro de la partícula del virus. Un mes después del primer video sobre la estructura del coronavirus con datos de tomografía Cryo-EM, Nanographics hizo una nueva versión. Las estructuras moleculares resueltas …",52,1856,1,30,22,0,Artículos,97,07-04-21 09:39
138," Tebas: ""Sabemos quién insultó a Diakhaby y tiene acento sudamericano. No es Cala"" ",https://www.elperiodico.com/es/deportes/20210408/tebas-insulto-diakhaby-acento-sudamericano-11643068,Vergonya,"En ese momento en las filas del Cádiz había dos jugadores sudamericanos: el portero argentino Ledesma y el lateral uruguayo Pacha Espino. El mandatario explicó cómo está gestionando este caso la Liga. ""Primero hemos mirado todas las grabaciones que se puedan oír, segundo hemos encargado la limpieza del sonido para ver todo lo que se puede llegar a oír y tercero hemos encargado un peritaje de lectura de labios porque en el momento de la jugada, cuando Cala se da la vuelta dice algo. Pues vamos a ver qué dice, habrá que hacer un informe"", avanzó.",168,1927,162,73,95,11,actualidad,374,08-04-21 18:38
139," Ortega Smith ayer en Vallecas: ""La mayoría de esta gente es gentuza"" ",https://www.abc.es/espana/abci-ortega-smith-vallecas-mayoria-esta-gente-gentuza-estudia-trabaja-espera-202104072036_video.html,Casiopeo,"Javier Ortega Smith, llegó ayer a Vallecas escoltado por la Policía y sobre los presentes en la manifestación de protesta en contra de la ultraderecha  declaró: ""son gentuza que ni estudia, ni trabaja, ni se les espera"".",601,2502,115,219,382,32,actualidad,403,08-04-21 21:15
140," Yolanda Díaz: “Voy a tender puentes, la política del ruido y los muros no conduce a nada” ",https://www.infolibre.es/noticias/politica/2021/04/09/yolanda_diaz_voy_tender_puentes_politica_del_ruido_los_muros_no_conduce_nada_119043_1012.html,Esteban_Rosador,"“Yo no ordeno y mando, quiero un liderazgo no confrontativo y no jerárquico” , “No duermo tranquila, duermo poco y cada vez menos” , “No frivolicemos con la libertad: el comunismo es la democracia y la igualdad”.",679,2189,189,305,374,6,politica,457,08-04-21 22:03
141, España bate el récord de dosis diarias administradas: 453.682 en las últimas 24 horas ,https://www.infosalus.com/asistencia/noticia-espana-bate-record-dosis-diarias-administradas-453682-ultimas-24-horas-20210408184828.html,Uvieu1926,Las comunidades autónomas han administrado hasta este martes un total de 9.811.529 dosis de las vacunas,294,780,75,141,153,4,actualidad,391,08-04-21 22:24
142, El Tribunal Europeo de Derechos Humanos dictamina que la vacunación obligatoria es necesaria en una sociedad democrática ,https://actualidad.rt.com/actualidad/388797-tribunal-europeo-derechos-humanos-vacunacion-obligatoria,me_joneo_pensando_en_ti,"Este fallo ha sido considerado histórico, ya que es la primera vez que el TEDH se pronuncia sobre la vacunación obligatoria contra las enfermedades infantiles. Así lo dictaminó este 8 de abril el Tribunal Europeo de Derechos Humanos (TEDH) en respuesta a una denuncia presentada en República Checa. El caso fue llevado a los tribunales por varios padres de familia del país centroeuropeo que habían sido multados o a cuyos hijos se les había negado el acceso a una guardería por no tener las vacunas obligatorias infantiles.",489,919,154,235,254,2,actualidad,379,08-04-21 20:26
143," Marruecos mata con un dron al jefe de la gendarmería del Polisario, Adaj el Bendir ",https://www.abc.es/internacional/abci-marruecos-abate-dron-jefe-gendarmeria-polisario-adaj-bendir-202104081804_noticia.html,Meneador_Compulsivo,"Addah Al-Bendir ,jefe de la gendarmería del Frente Polisario murió a causa de un ataque con dron marroquí en el territorio disputado del Sáhara Occidental. Addah Al Bendir, que nació en 1956 y se unió al Frente Polisario en 1978, murió cuando acababa de «participar en un ataque en la zona de Bir Lehlou contra el muro» de arena que separa los dos campos a lo largo de más de mil kilómetros en el Sáhara Occidental.",596,1389,70,224,372,1,actualidad,431,08-04-21 20:48
144, Pedro Duque anuncia en León que «pronto» comenzarán «las pruebas clínicas» con las vacunas españolas ,https://www.leonoticias.com/leon/pedro-duque-anuncia-leon-espana-pronto-comenzara-pruebas-clinica-vacuna-20210408141345-nt.html?ref=https://www.elbierzonoticias.com/,Froku,"Y en medio de retrasos, paros y algún problema con las diferentes vacunas contra la covid-19. Este jueves el ministro de Ciencia e Innovación, pedro Duque ha explicado en León que «pronto» se comenzarán en España «las pruebas clínicas» con alguna de las vacunas que se están llevando a cabo.",416,925,66,168,248,1,ciencia,360,08-04-21 18:31
145, Dar tu DNI en Wallapop e internet te puede costar un infierno de juicios y denuncias ,https://www.genbeta.com/actualidad/algo-inocente-como-dar-tu-dni-wallapop-internet-te-puede-costar-infierno-meses-denuncias-juicios,sam2001,"Tienes uno o varios artículos a la venta en Wallapop o en plataformas similares. Un usuario te escribe interesado en lo que vendes, pero poniéndote condiciones. ""Voy a recogerlo en una hora, pero antes necesito una foto de tu DNI por las dos caras, sin datos tapados. Si no, no me fío, y no te lo compro"".",386,7834,106,171,215,0,actualidad,375,08-04-21 10:42
146, Francia aprueba por sorpresa la Ley de promoción de las lenguas regionales y permite la inmersión lingüística educativa ,https://www.lefigaro.fr/actualite-france/la-promotion-des-langues-regionales-arrive-a-l-assemblee-nationale-20210407,sareando,"A pesar de la oposición del gobierno francés, la Asamblea Nacional ha aprobado la ""Loi de promotion des langues régionales"", por primera vez en la Historia de la República. Permite, por ejemplo, la inmersión en catalán en la Cataluña francesa, con el matiz de que solo puede llegar al 50% y garantizar el dominio del francés.",440,926,174,193,247,3,cultura,412,08-04-21 20:08
